Preparation,Application,Examination,Overall,course,min_category,atrisk
96.0,100.0,96.61080711354309,96.0,winter2025,Preparation,False
100.0,100.0,96.54445964432284,96.54445964432284,winter2025,Examination,False
54.81333333333333,85.95000000000002,75.8953488372093,54.81333333333333,winter2025,Preparation,True
88.0,96.5,96.1908344733242,88.0,winter2025,Preparation,False
100.0,98.0,99.85294117647058,98.0,winter2025,Application,False
85.33333333333331,99.0,92.40766073871409,85.33333333333331,winter2025,Preparation,False
96.0,99.0,98.33720930232559,96.0,winter2025,Preparation,False
90.86666666666667,79.96700000000001,89.73563611491109,79.96700000000001,winter2025,Application,False
85.46666666666665,85.05,80.73700410396717,80.73700410396717,winter2025,Examination,False
100.0,88.0,97.67441860465117,88.0,winter2025,Application,False
96.0,93.0,85.38885088919288,85.38885088919288,winter2025,Examination,False
99.92,99.0,99.95348837209303,99.0,winter2025,Application,False
79.16,99.9,83.02393980848153,79.16,winter2025,Preparation,False
95.90666666666667,97.5,98.52941176470588,95.90666666666667,winter2025,Preparation,False
90.66666666666669,91.5,96.44151846785225,90.66666666666669,winter2025,Preparation,False
75.88,89.233,92.9422024623803,75.88,winter2025,Preparation,False
92.0,93.0,97.32592339261286,92.0,winter2025,Preparation,False
100.0,98.0,98.69767441860466,98.0,winter2025,Application,False
96.0,83.6,96.65595075239398,83.6,winter2025,Application,False
88.8,100.0,98.45348837209302,88.8,winter2025,Preparation,False
100.0,99.0,99.13030095759234,99.0,winter2025,Application,False
85.58666666666667,94.89999999999999,84.02257181942544,84.02257181942544,winter2025,Examination,False
88.0,89.0,94.18604651162791,88.0,winter2025,Preparation,False
100.0,99.0,92.5656634746922,92.5656634746922,winter2025,Examination,False
96.0,99.0,100.0,96.0,winter2025,Preparation,False
98.0,100.0,96.12790697674419,96.12790697674419,winter2025,Examination,False
100.0,100.0,98.83720930232558,98.83720930232558,winter2025,Examination,False
87.8,87.4,77.7298221614227,77.7298221614227,winter2025,Examination,False
92.0,92.0,93.84404924760602,92.0,winter2025,Preparation,False
100.0,100.0,99.80232558139534,99.80232558139534,winter2025,Examination,False
92.0,100.0,93.40697674418604,92.0,winter2025,Preparation,False
79.86666666666666,85.06700000000001,80.88372093023256,79.86666666666666,winter2025,Preparation,False
100.0,98.0,98.72093023255815,98.0,winter2025,Application,False
88.86666666666667,94.2,97.95383036935705,88.86666666666667,winter2025,Preparation,False
94.97333333333331,95.45,91.50547195622434,91.50547195622434,winter2025,Examination,False
100.0,100.0,97.02735978112176,97.02735978112176,winter2025,Examination,False
99.2,98.0,88.68673050615595,88.68673050615595,winter2025,Examination,False
82.38666666666668,97.85,97.94117647058823,82.38666666666668,winter2025,Preparation,False
100.0,99.0,99.88372093023256,99.0,winter2025,Application,False
80.0,91.5,83.44117647058823,80.0,winter2025,Preparation,False
85.33333333333331,96.4,94.57250341997263,85.33333333333331,winter2025,Preparation,False
97.18666666666667,93.80000000000001,97.47674418604652,93.80000000000001,winter2025,Application,False
100.0,94.0,98.63953488372093,94.0,winter2025,Application,False
92.0,82.0,89.02530779753762,82.0,winter2025,Application,False
62.37333333333334,73.0,91.08207934336525,62.37333333333334,winter2025,Preparation,False
